classifier_name,dataset_name,accuracy
modularity_any2,cora_DB_logHeat_0,0.2066142844749034
modularity_any3,cora_DB_logHeat_0,0.2066142844749034
inertia_one,cora_DB_logHeat_1,0.18921235955686663
inertia_all,cora_DB_logHeat_1,0.19892720987150042
inertia_kmp,cora_DB_logHeat_1,0.22175144725110899
inertia_any2,cora_DB_logHeat_1,0.21454981332129675
inertia_any3,cora_DB_logHeat_1,0.21454981332129675
modularity_one,cora_DB_logHeat_1,0.1980605618517787
modularity_all,cora_DB_logHeat_1,0.21056780010600212
modularity_kmp,cora_DB_logHeat_1,0.218185342925583
modularity_any2,cora_DB_logHeat_1,0.21056780010600212
modularity_any3,cora_DB_logHeat_1,0.20852320083472184
inertia_one,cora_DB_logHeat_2,0.18508651774964888
inertia_all,cora_DB_logHeat_2,0.19892720987150042
inertia_kmp,cora_DB_logHeat_2,0.22175144725110899
inertia_any2,cora_DB_logHeat_2,0.19953467880540524
inertia_any3,cora_DB_logHeat_2,0.19953467880540524
modularity_one,cora_DB_logHeat_2,0.1980605618517787
modularity_all,cora_DB_logHeat_2,0.21056780010600212
modularity_kmp,cora_DB_logHeat_2,0.218185342925583
modularity_any2,cora_DB_logHeat_2,0.218185342925583
modularity_any3,cora_DB_logHeat_2,0.21437324274760397
inertia_one,cora_DB_logHeat_3,0.18508651774964888
inertia_all,cora_DB_logHeat_3,0.19892720987150042
inertia_kmp,cora_DB_logHeat_3,0.22175144725110899
inertia_any2,cora_DB_logHeat_3,0.2000180985645965
inertia_any3,cora_DB_logHeat_3,0.1930882857616505
modularity_one,cora_DB_logHeat_3,0.1980605618517787
modularity_all,cora_DB_logHeat_3,0.21056780010600212
modularity_kmp,cora_DB_logHeat_3,0.218185342925583
modularity_any2,cora_DB_logHeat_3,0.21109069908949274
modularity_any3,cora_DB_logHeat_3,0.21109069908949274
inertia_one,cora_DB_logHeat_4,0.18508651774964888
inertia_all,cora_DB_logHeat_4,0.19892720987150042
inertia_kmp,cora_DB_logHeat_4,0.22175144725110899
inertia_any2,cora_DB_logHeat_4,0.19901483665486247
inertia_any3,cora_DB_logHeat_4,0.19901483665486247
modularity_one,cora_DB_logHeat_4,0.1980605618517787
modularity_all,cora_DB_logHeat_4,0.21056780010600212
modularity_kmp,cora_DB_logHeat_4,0.218185342925583
modularity_any2,cora_DB_logHeat_4,0.20852320083472184
modularity_any3,cora_DB_logHeat_4,0.21149949173431729
inertia_one,cora_DB_NHeat_0,0.13285187499355502
inertia_all,cora_DB_NHeat_0,0.16583177905490912
inertia_kmp,cora_DB_NHeat_0,0.1204856518215706
inertia_any2,cora_DB_NHeat_0,0.15592113255309795
inertia_any3,cora_DB_NHeat_0,0.17314393815348159
modularity_one,cora_DB_NHeat_0,0.15246510330922594
modularity_all,cora_DB_NHeat_0,0.15592113255309795
modularity_kmp,cora_DB_NHeat_0,0.12401334118202471
modularity_any2,cora_DB_NHeat_0,0.15592113255309795
modularity_any3,cora_DB_NHeat_0,0.15246510330922594
inertia_one,cora_DB_NHeat_1,0.13663381034826635
inertia_all,cora_DB_NHeat_1,0.12918792933991022
inertia_kmp,cora_DB_NHeat_1,0.08376005046836395
inertia_any2,cora_DB_NHeat_1,0.15938977913716434
inertia_any3,cora_DB_NHeat_1,0.17156989871810177
modularity_one,cora_DB_NHeat_1,0.13663381034826635
modularity_all,cora_DB_NHeat_1,0.16223739608836119
modularity_kmp,cora_DB_NHeat_1,0.08376005046836395
modularity_any2,cora_DB_NHeat_1,0.16836903877643475
modularity_any3,cora_DB_NHeat_1,0.16223739608836119
inertia_one,cora_DB_NHeat_2,0.13663381034826635
inertia_all,cora_DB_NHeat_2,0.12918792933991022
inertia_kmp,cora_DB_NHeat_2,0.05941560913030776
inertia_any2,cora_DB_NHeat_2,0.14268292145002856
inertia_any3,cora_DB_NHeat_2,0.14268292145002856
modularity_one,cora_DB_NHeat_2,0.13663381034826635
modularity_all,cora_DB_NHeat_2,0.16223739608836119
modularity_kmp,cora_DB_NHeat_2,0.07123597711259277
modularity_any2,cora_DB_NHeat_2,0.16953771327020614
modularity_any3,cora_DB_NHeat_2,0.16953771327020614
inertia_one,cora_DB_NHeat_3,0.13663381034826635
inertia_all,cora_DB_NHeat_3,0.13418064570496507
inertia_kmp,cora_DB_NHeat_3,0.05941560913030776
inertia_any2,cora_DB_NHeat_3,0.1474517373823127
inertia_any3,cora_DB_NHeat_3,0.15264520830983394
modularity_one,cora_DB_NHeat_3,0.13663381034826635
modularity_all,cora_DB_NHeat_3,0.16223739608836119
modularity_kmp,cora_DB_NHeat_3,0.07123597711259277
modularity_any2,cora_DB_NHeat_3,0.15943484739745734
modularity_any3,cora_DB_NHeat_3,0.16836903877643475
inertia_one,cora_DB_NHeat_4,0.13663381034826635
inertia_all,cora_DB_NHeat_4,0.13418064570496507
inertia_kmp,cora_DB_NHeat_4,0.05941560913030776
inertia_any2,cora_DB_NHeat_4,0.17156989871810177
inertia_any3,cora_DB_NHeat_4,0.1474517373823127
modularity_one,cora_DB_NHeat_4,0.13663381034826635
modularity_all,cora_DB_NHeat_4,0.16223739608836119
modularity_kmp,cora_DB_NHeat_4,0.07123597711259277
modularity_any2,cora_DB_NHeat_4,0.16822596231565826
modularity_any3,cora_DB_NHeat_4,0.16822596231565826
inertia_one,cora_DB_logNHeat_0,0.19537409556901994
inertia_all,cora_DB_logNHeat_0,0.19108049932044172
inertia_kmp,cora_DB_logNHeat_0,0.22099507759311715
inertia_any2,cora_DB_logNHeat_0,0.20780509736470618
inertia_any3,cora_DB_logNHeat_0,0.20780509736470618
modularity_one,cora_DB_logNHeat_0,0.2012698892356798
modularity_all,cora_DB_logNHeat_0,0.2111060241935074
modularity_kmp,cora_DB_logNHeat_0,0.21311320796976319
modularity_any2,cora_DB_logNHeat_0,0.21254390584196975
modularity_any3,cora_DB_logNHeat_0,0.21254390584196975
inertia_one,cora_DB_logNHeat_1,0.18322680090595458
inertia_all,cora_DB_logNHeat_1,0.19108049932044172
inertia_kmp,cora_DB_logNHeat_1,0.18687676360923583
inertia_any2,cora_DB_logNHeat_1,0.2044170208848284
inertia_any3,cora_DB_logNHeat_1,0.20452136397533882
modularity_one,cora_DB_logNHeat_1,0.18053616674512543
modularity_all,cora_DB_logNHeat_1,0.2123026281518703
modularity_kmp,cora_DB_logNHeat_1,0.20569676159643782
modularity_any2,cora_DB_logNHeat_1,0.2038860927814251
modularity_any3,cora_DB_logNHeat_1,0.20896354150726068
inertia_one,cora_DB_logNHeat_2,0.18322680090595458
inertia_all,cora_DB_logNHeat_2,0.19108049932044172
inertia_kmp,cora_DB_logNHeat_2,0.1868373978075385
inertia_any2,cora_DB_logNHeat_2,0.2167825312887746
inertia_any3,cora_DB_logNHeat_2,0.2440361794634513
modularity_one,cora_DB_logNHeat_2,0.18053616674512543
modularity_all,cora_DB_logNHeat_2,0.2123026281518703
modularity_kmp,cora_DB_logNHeat_2,0.20569676159643782
modularity_any2,cora_DB_logNHeat_2,0.2123026281518703
modularity_any3,cora_DB_logNHeat_2,0.2123026281518703
inertia_one,cora_DB_logNHeat_3,0.18322680090595458
inertia_all,cora_DB_logNHeat_3,0.19108049932044172
inertia_kmp,cora_DB_logNHeat_3,0.1868373978075385
inertia_any2,cora_DB_logNHeat_3,0.20449002590892024
inertia_any3,cora_DB_logNHeat_3,0.21489420325688496
modularity_one,cora_DB_logNHeat_3,0.18053616674512543
modularity_all,cora_DB_logNHeat_3,0.2123026281518703
modularity_kmp,cora_DB_logNHeat_3,0.21311320796976319
modularity_any2,cora_DB_logNHeat_3,0.21308571602250068
modularity_any3,cora_DB_logNHeat_3,0.21308571602250068
inertia_one,cora_DB_logNHeat_4,0.18322680090595458
inertia_all,cora_DB_logNHeat_4,0.19108049932044172
inertia_kmp,cora_DB_logNHeat_4,0.1868373978075385
inertia_any2,cora_DB_logNHeat_4,0.20452136397533882
inertia_any3,cora_DB_logNHeat_4,0.20696114150494127
modularity_one,cora_DB_logNHeat_4,0.18053616674512543
